#tf_id	tg_id	regulatory_function
YBL005W	YLR153C	NaN
YBL005W	YFL039C	NaN
YBL005W	YDR448W	NaN
YBL005W	YMR184W	NaN
YBL005W	YKL206C	NaN
YBL005W	YAR015W	NaN
YBL005W	YNL220W	NaN
YBL005W	YLR359W	NaN
YBL005W	YLR028C	NaN
YBL005W	YMR120C	NaN
YBL005W	YOR128C	NaN
YBL005W	YGR204W	NaN
YBL005W	YGL234W	NaN
YBL005W	YGR061C	NaN
YBL005W	YDR408C	NaN
YBL005W	YOL086C	NaN
YBL005W	YMR083W	NaN
YBL005W	YGL256W	NaN
YBL005W	YBR145W	NaN
YBL005W	YMR009W	NaN
YBL005W	YDR226W	NaN
YBL005W	YER170W	NaN
YBL005W	YJR105W	NaN
YBL005W	YCR011C	NaN
YBL005W	YDR216W	NaN
YBL005W	YCR010C	NaN
YBL005W	YLR227C	NaN
YBL005W	YMR064W	NaN
YBL005W	YMR282C	NaN
YBL005W	YPL005W	NaN
YBL005W	YLR040C	NaN
YBL005W	YEL052W	NaN
YBL005W	YLR397C	NaN
YBL005W	YER017C	NaN
YBL005W	YOR129C	NaN
YBL005W	YDR085C	NaN
YBL005W	YGL071W	NaN
YBL005W	YPL202C	NaN
YBL005W	YNR044W	NaN
YBL005W	YGL032C	NaN
YBL005W	YPR021C	NaN
YBL005W	YDR524C	NaN
YBL005W	YIL044C	NaN
YBL005W	YCL025C	NaN
YBL005W	YBR132C	NaN
YBL005W	YFL055W	NaN
YBL005W	YFL030W	NaN
YBL005W	YDR214W	NaN
YBL005W	YOR023C	NaN
YBL005W	YCR082W	NaN
YBL005W	YDL073W	NaN
YBL005W	YLR109W	NaN
YBL005W	YHR093W	NaN
YBL005W	Q0050	NaN
YBL005W	Q0055	NaN
YBL005W	Q0060	NaN
YBL005W	Q0065	NaN
YBL005W	Q0070	NaN
YBL005W	Q0075	NaN
YBL005W	YNR074C	NaN
YBL005W	YER087W	NaN
YBL005W	YER093C-A	NaN
YBL005W	YGL160W	NaN
YBL005W	YHL021C	NaN
YBL005W	YHR198C	NaN
YBL005W	YIL087C	NaN
YBL005W	YAL049C	NaN
YBL005W	YIL158W	NaN
YBL005W	YIR003W	NaN
YBL005W	YJL046W	NaN
YBL005W	YJL131C	NaN
YBL005W	YJR100C	NaN
YBL005W	YKL037W	NaN
YBL005W	YKR074W	NaN
YBL005W	YBR108W	NaN
YBL005W	YML050W	NaN
YBL005W	YML087C	NaN
YBL005W	YMR003W	NaN
YBL005W	YMR157C	NaN
YBL005W	YOL053W	NaN
YBL005W	YBR194W	NaN
YBL005W	YOR215C	NaN
YBL005W	YPL158C	NaN
YBL005W	YPR004C	NaN
YBL005W	YHR199C	NaN
YBL005W	YDL237W	NaN
YBL005W	YDR063W	NaN
YBL005W	YER080W	NaN
YBL005W	YMR092C	NaN
YBL005W	YIL079C	NaN
YBL005W	YDL175C	NaN
YBL005W	YBR059C	NaN
YBL005W	YDR264C	NaN
YBL005W	YOR034C	NaN
YBL005W	YOR335C	NaN
YBL005W	YJL122W	NaN
YBL005W	YMR170C	NaN
YBL005W	YMR169C	NaN
YBL005W	YOR374W	NaN
YBL005W	YER073W	NaN
YBL005W	YPL061W	NaN
YBL005W	YOR175C	NaN
YBL005W	YBR110W	NaN
YBL005W	YNR030W	NaN
YBL005W	YGL047W	NaN
YBL005W	YBR070C	NaN
YBL005W	YGL065C	NaN
YBL005W	YBL082C	NaN
YBL005W	YPL227C	NaN
YBL005W	YOR002W	NaN
YBL005W	YBR243C	NaN
YBL005W	YOR067C	NaN
YBL005W	YNL219C	NaN
YBL005W	YGL021W	NaN
YBL005W	YBL009W	NaN
YBL005W	YML086C	NaN
YBL005W	YNL270C	NaN
YBL005W	YOL130W	NaN
YBL005W	YFL050C	NaN
YBL005W	YLR089C	NaN
YBL005W	YDR111C	NaN
YBL005W	YKR021W	NaN
YBL005W	YJL084C	NaN
YBL005W	YGR225W	NaN
YBL005W	YML035C	NaN
YBL005W	YDR242W	NaN
YBL005W	YBR211C	NaN
YBL005W	YOR378W	NaN
YBL005W	YBR158W	NaN
YBL005W	YGL156W	NaN
YBL005W	YJR047C	NaN
YBL005W	YEL036C	NaN
YBL005W	YKL047W	NaN
YBL005W	YHR126C	NaN
YBL005W	YPR128C	NaN
YBL005W	YMR010W	NaN
YBL005W	YPR180W	NaN
YBL005W	YCL050C	NaN
YBL005W	YDR530C	NaN
YBL005W	YNL172W	NaN
YBL005W	YDL008W	NaN
YBL005W	YLR127C	NaN
YBL005W	YDR118W	NaN
YBL005W	YOR249C	NaN
YBL005W	YLR102C	NaN
YBL005W	YBR151W	NaN
YBL005W	YKL103C	NaN
YBL005W	YKL157W	NaN
YBL005W	YBR286W	NaN
YBL005W	YHR113W	NaN
YBL005W	YDR525W	NaN
YBL005W	YNL077W	NaN
YBL005W	YJR005W	NaN
YBL005W	YKL135C	NaN
YBL005W	YBL037W	NaN
YBL005W	YPR029C	NaN
YBL005W	YPL195W	NaN
YBL005W	YGR261C	NaN
YBL005W	YPL259C	NaN
YBL005W	YHL019C	NaN
YBL005W	YBR288C	NaN
YBL005W	YOL062C	NaN
YBL005W	YKL114C	NaN
YBL005W	YBL019W	NaN
YBL005W	YNL094W	NaN
YBL005W	YIL040W	NaN
YBL005W	YJR058C	NaN
YBL005W	YJL024C	NaN
YBL005W	YML022W	NaN
YBL005W	YDR441C	NaN
YBL005W	YPR192W	NaN
YBL005W	YLL052C	NaN
YBL005W	YFL054C	NaN
YBL005W	YBR149W	NaN
YBL005W	YMR041C	NaN
YBL005W	YER036C	NaN
YBL005W	YGL105W	NaN
YBL005W	YIL062C	NaN
YBL005W	YLR370C	NaN
YBL005W	YNR035C	NaN
YBL005W	YBR234C	NaN
YBL005W	YHR013C	NaN
YBL005W	YCR048W	NaN
YBL005W	YNR019W	NaN
YBL005W	YDL192W	NaN
YBL005W	YDL137W	NaN
YBL005W	YOR094W	NaN
YBL005W	YOL058W	NaN
YBL005W	YJL088W	NaN
YBL005W	YHR018C	NaN
YBL005W	YER069W	NaN
YBL005W	YMR062C	NaN
YBL005W	YOL140W	NaN
YBL005W	YMR042W	NaN
YBL005W	YML099C	NaN
YBL005W	YDR173C	NaN
YBL005W	YDR376W	NaN
YBL005W	YGL157W	NaN
YBL005W	YNL020C	NaN
YBL005W	YBR164C	NaN
YBL005W	YPL051W	NaN
YBL005W	YHL040C	NaN
YBL005W	YHL047C	NaN
YBL005W	YDR127W	NaN
YBL005W	YDR380W	NaN
YBL005W	YGL148W	NaN
YBL005W	YDR035W	NaN
YBL005W	YBR249C	NaN
YBL005W	YPR060C	NaN
YBL005W	YGL202W	NaN
YBL005W	YDR421W	NaN
YBL005W	YHR137W	NaN
YBL005W	YHR129C	NaN
YBL005W	YDR106W	NaN
YBL005W	YDL029W	NaN
YBL005W	YJR065C	NaN
YBL005W	YJL081C	NaN
YBL005W	YLR085C	NaN
YBL005W	YPR034W	NaN
YBL005W	YOR141C	NaN
YBL005W	YMR033W	NaN
YBL005W	YPR199C	NaN
YBL005W	YPR200C	NaN
YBL005W	YPR201W	NaN
YBL005W	YLR392C	NaN
YBL005W	YGR068C	NaN
YBL005W	YLR242C	NaN
YBL005W	YDR101C	NaN
YBL005W	YPR085C	NaN
YBL005W	YMR116C	NaN
YBL005W	YOR058C	NaN
YBL005W	YJL115W	NaN
YBL005W	YDL197C	NaN
YBL005W	YIL130W	NaN
YBL005W	YJL170C	NaN
YBL005W	YKL185W	NaN
YBL005W	YMR119W	NaN
YBL005W	YNL159C	NaN
YBL005W	YNL008C	NaN
YBL005W	YKL052C	NaN
YBL005W	YGR097W	NaN
YBL005W	YDL088C	NaN
YBL005W	YPR145W	NaN
YBL005W	YGR124W	NaN
YBL005W	YDR321W	NaN
YBL005W	YLR155C	NaN
YBL005W	YLR157C	NaN
YBL005W	YLR158C	NaN
YBL005W	YLR160C	NaN
YBL005W	YPR093C	NaN
YBL005W	YBL069W	NaN
YBL005W	YER101C	NaN
YBL005W	YDR184C	NaN
YBL005W	YGL017W	NaN
YBL005W	YOR377W	NaN
YBL005W	YGR177C	NaN
YBL005W	YGL180W	NaN
YBL005W	YLL042C	NaN
YBL005W	YPR049C	NaN
YBL005W	YBR217W	NaN
YBL005W	YPR185W	NaN
YBL005W	YBR128C	NaN
YBL005W	YCR068W	NaN
YBL005W	YLR423C	NaN
YBL005W	YFR021W	NaN
YBL005W	YOL082W	NaN
YBL005W	YNL242W	NaN
YBL005W	YPL100W	NaN
YBL005W	YCL038C	NaN
YBL005W	YLR431C	NaN
YBL005W	YLR189C	NaN
YBL005W	YJL178C	NaN
YBL005W	YPL166W	NaN
YBL005W	YNR007C	NaN
YBL005W	YDR022C	NaN
YBL005W	YIL146C	NaN
YBL005W	YLR356W	NaN
YBL005W	YOL083W	NaN
YBL005W	YJL185C	NaN
YBL005W	YLR211C	NaN
YBL005W	YLR312C	NaN
YBL005W	YNL223W	NaN
YBL005W	YOR152C	NaN
YBL005W	YPL250C	NaN
YBL005W	YBR139W	NaN
YBL005W	YPL149W	NaN
YBL005W	YHR171W	NaN
YBL005W	YBL078C	NaN
YBL005W	YPR026W	NaN
YBL005W	YMR301C	NaN
YBL005W	YNR002C	NaN
YBL005W	YDR384C	NaN
YBL005W	YBL099W	NaN
YBL005W	YLR393W	NaN
YBL005W	YNL315C	NaN
YBL005W	YJL180C	NaN
YBL005W	YLR295C	NaN
YBL005W	YPL271W	NaN
YBL005W	YDL004W	NaN
YBL005W	YDR377W	NaN
YBL005W	YML081C-A	NaN
YBL005W	YOL077W-A	NaN
YBL005W	YJR121W	NaN
YBL005W	YPR020W	NaN
YBL005W	YDR350C	NaN
YBL005W	YNR020C	NaN
YBL005W	YMR098C	NaN
YBL005W	YBR039W	NaN
YBL005W	YPL078C	NaN
YBL005W	YDR298C	NaN
YBL005W	Q0085	NaN
YBL005W	YKL016C	NaN
YBL005W	Q0080	NaN
YBL005W	YML116W	NaN
YBL005W	YAL020C	NaN
YBL005W	YNL259C	NaN
YBL005W	YOR079C	NaN
YBL005W	YFL010W-A	NaN
YBL005W	YKL004W	NaN
YBL005W	YOR011W	NaN
YBL005W	YLR114C	NaN
YBL005W	YOL078W	NaN
YBL005W	YMR068W	NaN
YBL005W	YJR001W	NaN
YBL005W	YEL064C	NaN
YBL005W	YKL146W	NaN
YBL005W	YNL101W	NaN
YBL005W	YBL089W	NaN
YBL005W	YER119C	NaN
